title,chars,images,species,climate,location,stage,state,intervention,intent,outcome,time_relation,evidence_photos
post_bonsai-empire-intermediate-c.html,4585,15,False,False,True,True,False,True,True,True,True,True
post_ground-layered-fig-dip.html,5444,43,True,True,True,True,True,True,False,False,True,True
post_i-thought-that-it-surely-had.html,3776,18,False,True,True,False,False,True,True,True,True,True
post_just-stick-a-branch-on-your-.html,6406,48,True,True,True,True,True,True,True,False,True,True
post_my-big-hunka-sugarberry.html,9041,67,True,True,True,True,True,True,True,True,True,True
post_quick-update-to-the-collecte.html,4101,24,True,True,True,True,True,True,False,False,True,True
post_seven-levels-of-a-tree.html,5385,16,True,False,True,True,True,True,True,True,True,True
post_still-building-a-ficus.html,6421,61,True,False,True,False,False,True,True,True,True,True
post_thats-a-lotta-roots.html,3827,16,True,True,True,True,False,True,False,False,True,True
post_the-cincinnati-split.html,4390,21,True,True,False,True,True,True,False,False,False,True
post_time-for-a-change.html,3991,25,True,True,False,True,True,True,False,True,True,True
post_what-and-why-willow-leaf-rev.html,8961,27,True,True,True,True,False,True,True,True,True,True
